identifier;type;ra [°];dec [°];redshift
5BZQJ0049-3116;FSRQ;12,34538;-31,27425;2,721
3HSPJ004927.8+395004;BL Lac;12,36600;39,83442;0,190
3HSPJ004929.9-241845;BL Lac;12,37471;-24,31242;0,490
5BZQJ0049-2509;FSRQ;12,39054;-25,15944;1,472
5BZQJ0049+5128;FSRQ;12,40812;51,47056;0,870
3HSPJ004938.9-415138;BL Lac;12,41204;-41,86047;0,380
5BZBJ0049+0237;BL Lac;12,43008;2,61775;
3FGL J0049.4-5401;;12,45233;-54,04592;
5BZQJ0049-5738;FSRQ;12,49796;-57,64075;1,797
3HSPJ005015.5-461811;BL Lac;12,56454;-46,30311;0,330
5BZQJ0050-0452;FSRQ;12,58971;-4,87231;0,922
3HSPJ005040.9-254123;BL Lac;12,67058;-25,68972;0,777
5BZBJ0050-0929;BL Lac;12,67208;-9,48469;
3HSPJ005048.6-342851;BL Lac;12,70229;-34,48080;0,320
5BZQJ0051-0650;FSRQ;12,78417;-6,83386;1,975
5BZQJ0051-4226;FSRQ;12,78950;-42,44244;1,749
5BZBJ0051-6242;BL Lac;12,81938;-62,70122;0,300
3HSPJ005224.3+500331;;13,10110;50,05853;
5BZQJ0052+4402;FSRQ;13,11592;44,04850;2,624
WN B0046.2+8611;;13,13690;86,46229;
3HSPJ005235.4-574636;BL Lac;13,14767;-57,77675;0,256
PMN J0052-6641;;13,21671;-66,68797;
5BZQJ0052-2825;FSRQ;13,21892;-28,43167;1,643
3HSPJ005347.7-664518;BL Lac;13,44892;-66,75494;0,310
3HSPJ005410.1+473611;BL Lac;13,54192;47,60311;0,500
3HSPJ005425.4-361132;BL Lac;13,60596;-36,19220;0,310
TXS 0052-201;;13,63729;-19,88361;
3HSPJ005434.0-384617;;13,64170;-38,77120;
5BZBJ0054-2455;BL Lac;13,69475;-24,92472;0,120
3HSPJ005459.9-351917;BL Lac;13,74963;-35,32150;0,057
3FGL J0055.2-1213;;13,79909;-12,29919;
3HSPJ005542.7+450701;BL Lac;13,92792;45,11705;0,460
3HSPJ005553.6+121734;BL Lac;13,97325;12,29272;0,290
5BZGJ0056-0936;;14,08358;-9,60850;0,100
4FGL J0056.5-3936;;14,08381;-39,69567;0,263
;;14,08910;-53,31320;
CRATES J005630.93-53;;14,12888;-53,32542;
5BZBJ0056-2117;BL Lac;14,13446;-21,28553;
2MASS J00565461-4452;;14,19106;-44,85060;
5BZBJ0056+1625;;14,23025;16,42042;0,206
4FGL J0057.0+4101;;14,26763;40,99874;
5BZQJ0057-0024;FSRQ;14,32075;-0,40906;2,747
5BZBJ0057-2212;BL Lac;14,33021;-22,21030;
4FGL J0057.3+2216;;14,38883;22,31145;
NGC 315;;14,45368;30,35245;
3HSPJ005758.4+632639;BL Lac;14,49325;63,44425;0,180
5BZBJ0058-3234;BL Lac;14,50925;-32,57239;
5BZQJ0058-0539;FSRQ;14,52112;-5,66453;1,246
3HSPJ005808.2-002418;BL Lac;14,53417;-0,40492;0,600
3HSPJ005813.8-142929;BL Lac;14,55746;-14,49142;0,300
5BZBJ0058+1723;BL Lac;14,56992;17,38708;0,420
5BZUJ0058+3311;;14,63358;33,18817;1,369
NVSS J005832-114050;;14,63489;-11,68070;
5BZQJ0058+0620;FSRQ;14,64083;6,33511;0,592
5BZUJ0058-5659;;14,69408;-56,98653;
5BZBJ0058-5219;BL Lac;14,73271;-52,32447;
5BZQJ0059+0006;FSRQ;14,77296;0,11436;0,719
5BZGJ0059-0150;;14,82050;-1,83825;0,114
3HSPJ005931.5-351049;BL Lac;14,88112;-35,18031;0,310
5BZQJ0100-3337;FSRQ;15,03871;-33,62561;0,874
3HSPJ010010.7-023452;BL Lac;15,04467;-2,58100;0,199
5BZUJ0100+0745;;15,08667;7,76428;
5BZQJ0100+3345;FSRQ;15,15954;33,75172;2,144
5BZBJ0100-0055;BL Lac;15,24242;-0,92983;
3HSPJ010116.3+273058;BL Lac;15,31779;27,51611;0,500
3HSPJ010142.0-545547;BL Lac;15,42504;-54,92984;0,280
TXS 0059+163;;15,49050;16,66138;
MRSS 151-117213;;15,54356;-56,61791;
5BZQJ0102-8012;FSRQ;15,56175;-80,21095;1,169
2MASS J01021713+0944;;15,57130;9,73600;
5BZQJ0102-7546;FSRQ;15,57750;-75,78084;1,017
5BZQJ0102+4214;FSRQ;15,61300;42,23869;0,874
5BZUJ0102+5824;;15,69067;58,40308;0,644
3HSPJ010250.9-200158;BL Lac;15,71225;-20,03280;0,270
5BZQJ0102-2646;FSRQ;15,73475;-26,77670;1,597
GB6 J0103+4959;;15,81538;49,99123;
3HSPJ010325.9+533713;BL Lac;15,85787;53,62039;0,150
5BZGJ0103+1526;;15,85837;15,44022;0,246
5BZGJ0103+4322;;15,87021;43,38331;
5BZUJ0103-6439;;15,89050;-64,65211;0,163
3FGL J0103.7+1323;;15,94059;13,39590;
3HSPJ010353.2+351323;BL Lac;15,97175;35,22297;0,450
3HSPJ010437.1+340128;;16,15470;34,02450;
5BZQJ0104-2416;FSRQ;16,24250;-24,27456;1,747
3HSPJ010501.9+503320;BL Lac;16,25779;50,55556;0,260
