Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
Yes;5BZBJ0111+0536;;17,87575;5,60758;0,346;3,51E+20;17,4;-11,9;17,4;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 8 arcseconds, vmag=18.9;1,3;0,82;16,8;0,4;-11,86;-11,92;-11,80
Yes;NVSS J011130-254531;;17,87809;-25,75868;;1,63E+20;12,8;-12,4;13,1;0,5;;No possible source for confusion within 20 arcseconds;9,3;-0,69;12,4;0,4;-12,28;-12,82;-11,85
No;5BZUJ0111+3906;;17,90546;39,10781;0,668;5,64E+20;;;12,3;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 16 arcseconds;;;;;;;
Yes;5BZQJ0111-1317;FSRQ;17,98692;-13,28364;2,420;1,74E+20;12,8;-12,2;13,0;0,5;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;4,0;-0,46;12,7;0,4;-12,15;-12,40;-11,80
Yes;5BZBJ0112+2244;BL Lac;18,02425;22,74411;0,265;3,74E+20;14,4;-10,6;14,6;0,4;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;4,3;0,14;14,1;0,4;-10,54;-10,82;-10,19
No;5BZQJ0112+2020;FSRQ;18,04246;20,33939;0,746;3,36E+20;;;13,3;0,7;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
Yes;5BZQJ0112+3522;FSRQ;18,05392;35,37203;0,450;5,01E+20;12,7;-11,8;12,7;0,6;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,5;-0,45;12,7;0,4;-11,82;-11,93;-11,75
No;5BZQJ0112+3818;FSRQ;18,07521;38,31581;0,333;5,71E+20;;;14,8;0,5;Not enough flux variability. ;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,1;;;;;;
Yes;5BZQJ0112-6634;FSRQ;18,07879;-66,57922;1,189;4,58E+20;12,8;-12,0;13,0;1,0;;Possible confusing source at distance of 9 arcseconds, vmag=100.0;1,4;-0,87;12,2;0,4;-11,89;-11,98;-11,82
No;3HSPJ011231.4-750618;BL Lac;18,13083;-75,10495;0,300;6,34E+20;;;15,5;0,3;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;4,2;0,61;15,9;0,4;-11,58;-11,95;-11,32
No;5BZBJ0112-3201;BL Lac;18,13650;-32,02836;0,480;2,41E+20;;;16,3;0,4;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
Yes;3FGL J0113.0-3554;;18,16110;-35,85790;;1,80E+20;12,8;-12,7;12,8;0,9;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 14 arcseconds;;;;;;;
Yes;TXS 0110-037;;18,16304;-3,47828;;4,65E+20;13,8;-12,2;14,0;1,0;;There are no confusing sources at this position. The closest object is located at 17 arcseconds;2,2;0,07;13,9;0,4;-12,23;-12,39;-12,04
Yes;5BZQJ0112+3208;FSRQ;18,20971;32,13816;0,603;5,14E+20;12,7;-11,3;12,7;0,3;;No possible source for confusion within 20 arcseconds;33,4;-0,34;12,8;0,4;-11,26;-12,06;-10,53
No;3HSPJ011314.3-190808;BL Lac;18,30967;-19,13550;;1,11E+20;;;15,5;1,1;;Possible confusing source at distance of 2 arcseconds, vmag=100.0;1,5;-0,51;12,6;0,4;-12,57;-12,64;-12,47
Yes;5BZQJ0113-3551;FSRQ;18,31604;-35,86331;1,220;1,84E+20;12,6;-11,9;12,8;0,4;;No possible source for confusion within 20 arcseconds;4,5;-0,66;12,4;0,4;-11,94;-12,27;-11,61
Yes;5BZQJ0113+4948;FSRQ;18,36250;49,80666;0,389;1,26E+21;12,9;-11,3;12,9;0,4;;There are no confusing sources at this position. The closest object is located at 9 arcseconds;14,9;-0,31;12,9;0,4;-11,18;-11,74;-10,56
Yes;5BZGJ0113+0222;;18,42975;2,37147;0,047;3,18E+20;13,2;-11,7;13,8;0,6;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,4;1,65;17,5;0,0;-10,65;0,00;0,00
Yes;5BZQJ0113+1324;FSRQ;18,47713;13,41458;0,685;3,15E+20;12,9;-12,3;13,3;0,9;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,9;-0,50;12,6;0,4;-12,15;-12,23;-11,96
Yes;NVWJ0114.4+1222;;18,53520;12,38220;;3,84E+20;14,3;-12,3;15,2;0,7;;No possible source for confusion within 20 arcseconds;4,1;0,18;14,3;0,4;-12,30;-12,59;-11,97
