Updated classification?;identifier;type;ra [°];dec [°];redshift;nh [cm-2];log10(nu_peak);log10(nu F_nu);BlaST: log10(nu_peak);BlaST: +/-;W-peak: error/warning;Source confusion;W-peak: flux ratio;W-peak: slope;W-peak: log10(nu_peak);W-peak: +/-;W-peak: log10(nu F_nu);W-peak: lim- log10(nu F_nu);W-peak: lim+ log10(nu F_nu)
Yes;5BZQJ2119-1106;FSRQ;319,91620;-11,10392;1,844;4,00E+20;12,7;-12,5;12,7;0,4;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;4,0;-0,52;12,6;0,4;-12,53;-12,79;-12,18
Yes;NVSS J212035-125443;;320,14862;-12,91143;;4,99E+20;13,4;-12,5;13,7;0,8;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;3,2;-0,12;13,1;0,4;-12,51;-12,80;-12,29
Yes;NVWJ2120.6+0533;;320,17160;5,56250;;7,05E+20;13,0;-12,2;13,0;0,5;;Possible confusing source at distance of 6 arcseconds, vmag=19.1;3,9;-0,14;13,1;0,4;-12,17;-12,33;-11,74
Yes;5BZQJ2121+1901;FSRQ;320,25253;19,02453;2,180;6,09E+20;12,4;-12,8;12,4;0,3;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 14 arcseconds;;;;;;;
No;5BZQJ2121-6111;FSRQ;320,26694;-61,19017;1,017;3,33E+20;;;13,1;0,6;;No possible source for confusion within 20 arcseconds;1,5;-0,71;12,4;0,4;-12,04;-12,13;-11,95
No;3HSPJ212125.5-831915;BL Lac;320,35614;-83,32075;0,620;8,87E+20;;;16,1;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 17 arcseconds;;;;;;;
No;3HSPJ212233.8+192527;BL Lac;320,64066;19,42417;;5,39E+20;;;15,4;0,4;Not enough flux variability. Flux too close to background. ;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,3;;;;;;
No;5BZBJ2123-1036;BL Lac;320,78030;-10,61350;0,023;4,10E+20;;;16,6;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 15 arcseconds;;;;;;;
Yes;5BZQJ2123+0535;FSRQ;320,93549;5,58947;1,941;5,91E+20;12,5;-11,6;12,5;0,4;;No possible source for confusion within 20 arcseconds;7,7;-0,51;12,6;0,4;-11,54;-12,01;-11,12
Yes;PMN J2123-3155;;320,93674;-31,93381;;6,44E+20;12,8;-12,6;13,1;0,6;;No possible source for confusion within 20 arcseconds;1,9;-0,59;12,5;0,4;-12,55;-12,68;-12,40
No;5BZQJ2123-3046;FSRQ;320,95248;-30,76817;1,879;4,82E+20;;;13,8;1,2;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 14 arcseconds;;;;;;;
No;5BZQJ2124-6028;FSRQ;321,01239;-60,46917;1,098;2,89E+20;;;14,6;0,7;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;NVWJ2124.5-2431;;321,10423;-24,52193;;2,68E+20;;;14,1;0,4;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;11,1;0,30;14,7;0,4;-12,02;-12,65;-11,60
Yes;5BZQJ2125+0441;FSRQ;321,37192;4,69319;1,394;5,64E+20;12,4;-12,4;12,4;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 11 arcseconds;;;;;;;
Yes;3FGL J2126.5-3926;;321,60504;-39,35641;;2,72E+20;13,2;-12,4;13,4;0,7;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;2,2;-0,23;13,0;0,4;-12,24;-12,40;-12,05
Yes;87GB 212407.5+182753;;321,61863;18,68370;;5,40E+20;14,1;-12,0;14,1;0,5;;No possible source for confusion within 20 arcseconds;3,7;0,15;14,2;0,4;-12,00;-12,26;-11,69
Yes;5BZQJ2126-4605;FSRQ;321,62790;-46,09664;1,670;2,31E+20;12,5;-12,0;12,6;0,3;;Possible confusing source at distance of 9 arcseconds, vmag=100.0;1,8;-0,66;12,4;0,4;-12,02;-12,13;-11,88
No;5BZQJ2126-0119;FSRQ;321,63647;-1,32567;2,191;3,69E+20;;;12,6;0,5;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
No;1RXS J212728.9-60004;;321,87039;-60,01375;;2,87E+20;;;14,6;1,2;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 5 arcseconds, vmag=100.0;;;;;;;
Yes;5BZBJ2127+3613;BL Lac;321,92929;36,21825;0,876;1,51E+21;15,3;-11,5;15,3;0,3;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;1,8;0,44;15,3;0,4;-11,47;-11,57;-11,32
No;4FGL J2127.5-5744;;321,93826;-57,75807;;3,31E+20;;;14,6;0,6;;No possible source for confusion within 20 arcseconds;2,9;0,29;14,7;0,4;-11,74;-11,96;-11,50
No;5BZQJ2128-0244;FSRQ;322,09259;-2,74244;1,822;4,45E+20;;;12,5;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 17 arcseconds;;;;;;;
No;3HSPJ212840.0-194153;BL Lac;322,16650;-19,69800;0,240;3,07E+20;;;16,4;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 9 arcseconds;1,2;;;;;;
No;5BZQJ2129-1538;FSRQ;322,30075;-15,64472;3,268;4,45E+20;;;13,0;1,0;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,1;;;;;;
No;5BZUJ2129+0035;;322,41956;0,59108;0,426;3,34E+20;;;16,9;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,3;1,08;17,5;0,0;-11,89;0,00;0,00
Yes;NVWJ2129.2+2609;;322,48490;26,16170;;7,38E+20;14,6;-12,2;14,5;0,5;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,5;0,28;14,7;0,4;-12,16;-12,26;-12,09
No;3HSPJ213004.8-563222;BL Lac;322,51987;-56,53947;;4,56E+20;;;15,3;1,3;Not enough flux variability. Flux too close to background. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 16 arcseconds;1,2;;;;;;
No;4FGL J2130.0+2610;;322,56952;26,17220;;7,34E+20;;;14,5;0,7;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 16 arcseconds;1,3;;;;;;
No;SUMSS J213017-424319;;322,57196;-42,72197;;2,53E+20;;;13,5;1,2;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 7 arcseconds, vmag=100.0;;;;;;;
Yes;5BZUJ2130-0927;;322,57953;-9,46039;;4,00E+20;12,5;-12,1;12,5;0,5;;Possible confusing source at distance of 4 arcseconds, vmag=100.0;4,1;-0,04;13,4;0,4;-11,72;-12,18;-11,57
No;PMN J2130-7325;;322,66095;-73,41781;;4,15E+20;;;15,6;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 17 arcseconds;;;;;;;
No;SUMSS J213038-662356;;322,66125;-66,39900;;2,36E+20;;;12,6;0,5;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;5BZQJ2130-4515;FSRQ;322,71835;-45,26203;2,713;2,11E+20;;;15,8;0,9;Flux too close to background. ;There are no confusing sources at this position. The closest object is located at 20 arcseconds;1,3;;;;;;
Yes;5BZBJ2131-2746;BL Lac;322,76370;-27,78278;0,380;2,73E+20;16,0;-11,6;15,8;0,3;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;3,2;0,71;16,3;0,4;-11,59;-11,79;-11,28
No;5BZQJ2131-1207;FSRQ;322,89694;-12,11800;0,499;4,57E+20;;;13,1;0,6;Not enough flux variability. ;Possible confusing source at distance of 9 arcseconds, vmag=100.0;1,1;;;;;;
Yes;5BZBJ2131-0915;BL Lac;322,89749;-9,25639;0,449;3,52E+20;16,3;-11,5;16,3;0,4;;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,5;0,74;16,4;0,4;-11,45;-11,55;-11,37
Yes;5BZBJ2131-2515;BL Lac;322,96371;-25,26611;0,860;3,18E+20;16,8;-11,6;16,9;0,4;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 3 arcseconds, vmag=100.0;1,9;0,74;16,5;0,4;-11,89;-12,01;-11,73
Yes;3FGL J2132.4-5420;;323,03458;-54,34348;;2,32E+20;12,6;-12,6;12,6;0,6;;There are no confusing sources at this position. The closest object is located at 15 arcseconds;3,6;-0,63;12,5;0,4;-12,65;-12,94;-12,38
Yes;5BZQJ2132-4537;FSRQ;323,11801;-45,62728;1,332;2,29E+20;13,7;-12,4;13,7;1,2;Not enough flux variability. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;Possible confusing source at distance of 5 arcseconds, vmag=100.0;1,2;;;;;;
No;NVSS J213252+261143;;323,22102;26,19549;;7,27E+20;;;12,6;0,4;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;3,3;-0,63;12,5;0,4;-12,37;-12,62;-12,10
Yes;3HSPJ213306.3-281537;BL Lac;323,27625;-28,26017;;2,64E+20;15,3;-12,1;15,3;0,4;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
No;5BZGJ2133+2528;;323,30984;25,48308;0,294;6,63E+20;;;14,5;0,5;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,5;1,07;17,5;0,0;-11,39;0,00;0,00
No;NVWJ2133.4-0522;;323,31360;-5,38070;;3,74E+20;;;14,8;0,8;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;3,6;0,03;13,7;0,4;-12,28;-12,54;-11,98
No;5BZQJ2133+8239;FSRQ;323,39200;82,65170;2,350;6,01E+20;;;12,3;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 17 arcseconds;;;;;;;
Yes;MG1 J213339+1443;;323,40579;14,72958;;5,52E+20;12,9;-12,4;13,2;0,7;;No possible source for confusion within 20 arcseconds;1,9;-0,50;12,6;0,4;-12,32;-12,44;-12,16
No;4FGL J2133.6+8002;;323,43097;80,05444;;7,53E+20;;;15,7;0,7;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 18 arcseconds;1,4;1,07;17,5;0,0;-11,92;0,00;0,00
No;3HSPJ213349.2+664704;BL Lac;323,45502;66,78452;;2,94E+21;;;15,6;0,4;;Possible confusing source at distance of 7 arcseconds, vmag=100.0;2,7;0,40;15,1;0,4;-11,83;-12,06;-11,63
Yes;5BZBJ2134-0153;BL Lac;323,54294;-1,88811;1,283;4,15E+20;12,8;-11,3;12,8;0,4;;No possible source for confusion within 20 arcseconds;3,6;-0,39;12,8;0,4;-11,25;-11,57;-11,02
Yes;2MASS J21343180-6513;;323,55514;-65,22699;;3,04E+20;12,9;-12,2;12,9;0,4;;Possible confusing source at distance of 6 arcseconds, vmag=100.0;3,8;-0,17;13,0;0,4;-12,25;-12,47;-11,89
No;MRSS 600-193101;;323,62575;-21,50911;;3,19E+20;;;14,1;0,4;;No possible source for confusion within 20 arcseconds;3,1;0,37;15,0;0,4;-11,90;-12,16;-11,66
No;3HSPJ213448.2-164206;BL Lac;323,70093;-16,70156;0,800;4,51E+20;;;16,5;0,7;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 7 arcseconds, vmag=100.0;;;;;;;
No;3HSPJ213510.9+224308;BL Lac;323,79547;22,71883;0,450;6,04E+20;;;16,2;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;Possible confusing source at distance of 8 arcseconds, vmag=100.0;1,4;1,07;17,5;0,0;-11,83;0,00;0,00
Yes;5BZQJ2135-5006;FSRQ;323,83392;-50,11447;2,181;1,93E+20;12,5;-12,6;12,5;0,3;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 16 arcseconds;;;;;;;
No;5BZQJ2135-0803;FSRQ;323,96643;-8,05289;1,396;3,14E+20;;;14,7;1,0;;No possible source for confusion within 20 arcseconds;1,5;-0,72;12,3;0,4;-12,38;-12,48;-12,31
No;5BZBJ2136-4443;BL Lac;324,07663;-44,73025;;2,29E+20;;;16,4;0,4;;Possible confusing source at distance of 2 arcseconds, vmag=100.0;1,8;0,63;16,0;0,4;-12,27;-12,42;-12,17
Yes;TXS 2133-069;;324,09295;-6,73114;;3,09E+20;13,0;-12,2;13,1;0,7;;No possible source for confusion within 20 arcseconds;2,1;-0,37;12,8;0,4;-12,20;-12,42;-12,10
Yes;5BZQJ2136+0041;FSRQ;324,16080;0,69839;1,941;4,50E+20;12,4;-11,7;12,4;0,4;;No possible source for confusion within 20 arcseconds;1,5;0,04;13,7;0,4;-11,97;-12,05;-11,89
Yes;NVSS J213726-320755;;324,36215;-32,13289;;2,37E+20;14,6;-12,3;14,6;0,5;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;2,0;0,28;14,7;0,4;-12,29;-12,43;-12,14
Yes;MG3 J213809+3553;;324,52808;35,90819;;1,46E+21;13,2;-12,2;13,2;0,5;;Possible confusing source at distance of 7 arcseconds, vmag=18.2;2,5;0,31;14,8;0,4;-12,24;-12,43;-12,03
No;3HSPJ213818.4-352205;BL Lac;324,57648;-35,36803;;3,64E+20;;;16,0;0,7;Flux too close to background. ;Possible confusing source at distance of 7 arcseconds, vmag=100.0;1,3;;;;;;
Yes;3HSPJ213821.1+355824;BL Lac;324,58804;35,97322;0,250;1,42E+21;16,6;-12,2;16,6;0,4;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,3;;;;;;
No;NVWJ2138.0-1258;;324,64550;-12,98070;;4,48E+20;;;15,7;0,5;;No possible source for confusion within 20 arcseconds;2,0;0,59;15,9;0,4;-12,14;-12,27;-11,97
Yes;5BZQJ2138-2439;FSRQ;324,65491;-24,66514;0,819;4,24E+20;12,5;-12,1;12,3;0,4;;No possible source for confusion within 20 arcseconds;1,3;-0,36;12,8;0,4;-12,13;-12,18;-12,05
Yes;5BZBJ2138-2053;BL Lac;324,71988;-20,89625;0,290;3,07E+20;17,2;-11,9;17,2;0,5;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,4;0,96;17,3;0,4;-11,89;-11,94;-11,80
Yes;5BZQJ2139+1423;FSRQ;324,75546;14,39333;2,427;6,04E+20;12,2;-12,1;12,2;0,4;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;1,3;0,16;14,2;0,4;-12,22;-12,27;-12,14
No;PMN J2139-6732;;324,80499;-67,53550;;2,38E+20;;;12,8;0,7;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 20 arcseconds;;;;;;;
Yes;4FGL J2139.2-2214;;324,81128;-22,21955;;3,31E+20;13,0;-12,4;13,2;0,5;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;2,7;-0,34;12,8;0,4;-12,34;-12,53;-12,10
Yes;5BZBJ2139-4235;BL Lac;324,85068;-42,58900;;1,51E+20;14,6;-11,0;14,6;0,3;;There are no confusing sources at this position. The closest object is located at 10 arcseconds;4,3;0,22;14,5;0,4;-10,85;-11,21;-10,57
No;4FGL J2139.1+3724;;324,91965;37,43624;;1,78E+21;;;13,6;0,6;;There are no confusing sources at this position. The closest object is located at 15 arcseconds;5,2;-0,63;12,5;0,4;-12,18;-12,58;-11,87
No;5BZQJ2139+0122;FSRQ;324,92712;1,37422;1,401;3,90E+20;;;13,1;0,9;Not enough flux variability. Flux too close to background. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,1;;;;;;
No;5BZGJ2140-2339;;325,06314;-23,66111;0,313;3,48E+20;;;17,5;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 16 arcseconds;;;;;;;
No;4FGL J2139.9+3910;;325,07062;39,19579;;1,91E+21;;;12,3;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 5 arcseconds, vmag=100.0;;;;;;;
No;87GB 213913.0+293303;;325,34955;29,78506;;9,46E+20;;;14,9;0,7;;There are no confusing sources at this position. The closest object is located at 19 arcseconds;2,0;0,69;16,3;0,4;-11,78;-11,98;-11,67
No;3HSPJ214130.9+211527;BL Lac;325,37869;21,25742;0,220;6,07E+20;;;16,2;0,4;;Possible confusing source at distance of 2 arcseconds, vmag=100.0;2,0;1,52;17,5;0,0;-11,51;0,00;0,00
No;CTS 0561;;325,43460;-55,15830;;2,37E+20;;;13,2;0,7;;No possible source for confusion within 20 arcseconds;1,3;-0,16;13,0;0,4;-11,88;-11,94;-11,81
Yes;3FGL J2141.6-6412;;325,44351;-64,18736;;2,98E+20;12,6;-11,6;12,5;0,4;;There are no confusing sources at this position. The closest object is located at 14 arcseconds;24,8;-0,42;12,7;0,4;-11,59;-12,40;-11,00
Yes;5BZQJ2141-3729;FSRQ;325,46857;-37,48695;0,423;2,09E+20;12,9;-11,8;13,0;0,5;;There are no confusing sources at this position. The closest object is located at 11 arcseconds;2,7;-0,36;12,8;0,4;-11,81;-12,07;-11,63
Yes;3FGL J2142.2-2546;;325,56635;-25,85739;;2,47E+20;13,4;-12,3;13,0;0,4;;There are no confusing sources at this position. The closest object is located at 13 arcseconds;4,7;0,03;13,7;0,4;-12,16;-12,55;-11,88
Yes;3HSPJ214226.5+365950;BL Lac;325,61038;36,99714;0,240;1,65E+21;17,0;-11,6;17,0;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 16 arcseconds;1,7;1,29;17,5;0,0;-11,65;0,00;0,00
Yes;5BZQJ2142-0437;FSRQ;325,65375;-4,62875;0,344;2,39E+20;13,0;-11,7;13,0;0,5;;No possible source for confusion within 20 arcseconds;1,6;-0,14;13,1;0,4;-11,65;-11,77;-11,56
No;3HSPJ214239.8-202819;BL Lac;325,66574;-20,47197;0,530;3,32E+20;;;16,7;0,5;;There are no confusing sources at this position. The closest object is located at 16 arcseconds;2,5;0,51;15,6;0,4;-12,26;-12,48;-12,07
No;3HSPJ214247.6+195811;BL Lac;325,69839;19,96969;0,380;7,41E+20;;;16,0;0,4;;Possible confusing source at distance of 2 arcseconds, vmag=100.0;2,6;0,61;15,9;0,4;-11,92;-12,18;-11,77
No;3HSPJ214255.6-391313;BL Lac;325,73181;-39,22025;;1,77E+20;;;16,0;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 17 arcseconds;;;;;;;
No;5BZBJ2143-3929;BL Lac;325,76193;-39,49020;0,429;1,84E+20;;;14,9;0,5;;No possible source for confusion within 20 arcseconds;2,8;0,44;15,3;0,4;-11,87;-12,11;-11,67
No;5BZGJ2143-2845;;325,85101;-28,76592;0,172;2,62E+20;;;16,1;0,5;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 14 arcseconds;1,1;;;;;;
No;5BZQJ2143+1743;FSRQ;325,89807;17,73022;0,213;7,30E+20;;;13,1;0,6;;There are no confusing sources at this position. The closest object is located at 18 arcseconds;1,5;-0,35;12,8;0,4;-11,03;-11,11;-10,93
No;MG3 J214351+3337;;325,95890;33,61967;;1,21E+21;;;12,6;0,4;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 5 arcseconds, vmag=100.0;;;;;;;
No;5BZBJ2144-0028;BL Lac;326,02612;-0,48281;;4,54E+20;;;14,7;1,2;Not enough IR data measurements to provide a Wpeak prediction.;No possible source for confusion within 20 arcseconds;;;;;;;
No;3HSPJ214410.0-195600;BL Lac;326,04175;-19,93333;0,450;3,08E+20;;;17,3;0,5;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 8 arcseconds, vmag=100.0;;;;;;;
No;3FGL J2144.2+3132;;326,06342;31,56088;;1,06E+21;;;14,8;0,7;;There are no confusing sources at this position. The closest object is located at 9 arcseconds;2,4;0,50;15,5;0,4;-11,48;-11,68;-11,30
Yes;3HSPJ214429.6-563849;BL Lac;326,12323;-56,64695;0,480;2,83E+20;16,6;-12,5;16,6;0,4;Flux too close to background. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 11 arcseconds;1,3;;;;;;
No;3HSPJ214442.1-181800;BL Lac;326,17538;-18,30011;0,230;3,06E+20;;;15,7;0,6;Not enough flux variability. Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;There are no confusing sources at this position. The closest object is located at 9 arcseconds;1,3;;;;;;
No;3HSPJ214453.4-185726;BL Lac;326,22232;-18,95708;0,380;3,03E+20;;;15,8;0,4;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;No possible source for confusion within 20 arcseconds;1,5;0,57;15,8;0,4;-11,96;-12,05;-11,88
Yes;5BZQJ2145-3357;FSRQ;326,25470;-33,95456;1,361;2,02E+20;12,8;-12,1;12,8;0,4;;No possible source for confusion within 20 arcseconds;12,2;-0,44;12,7;0,4;-12,10;-12,63;-11,55
Yes;5BZQJ2145+1115;FSRQ;326,32825;11,25758;0,548;5,26E+20;12,9;-11,8;12,9;0,8;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 15 arcseconds;1,2;;;;;;
No;3HSPJ214530.2+100606;BL Lac;326,37579;10,10153;0,370;4,48E+20;;;15,3;0,6;;No possible source for confusion within 20 arcseconds;1,5;0,59;15,9;0,4;-12,06;-12,11;-11,94
No;5BZGJ2145-0434;;326,38913;-4,57753;0,070;2,35E+20;;;16,2;0,5;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 17 arcseconds;;;;;;;
No;NVWJ2145.2-1414;;326,40650;-14,24470;;3,80E+20;;;15,4;0,8;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;2,4;0,28;14,7;0,4;-12,40;-12,60;-12,23
Yes;5BZQJ2145-3142;FSRQ;326,44559;-31,70950;0,660;2,24E+20;13,0;-12,3;13,5;0,9;Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 10 arcseconds;1,4;-0,56;12,6;0,4;-12,32;-12,41;-12,26
Yes;5BZBJ2145+0719;BL Lac;326,46793;7,32422;0,237;4,95E+20;17,5;-11,7;17,3;0,6;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 11 arcseconds;1,4;0,85;16,9;0,4;-11,55;-11,60;-11,44
No;3HSPJ214609.6+850148;BL Lac;326,54001;85,03006;0,280;5,30E+20;;;16,2;0,5;Not enough IR data measurements to provide a Wpeak prediction.;Possible confusing source at distance of 2 arcseconds, vmag=14.9;;;;;;;
Yes;5BZQJ2146-1525;FSRQ;326,59573;-15,42886;0,698;4,51E+20;12,7;-11,7;12,7;0,6;;No possible source for confusion within 20 arcseconds;2,4;-0,34;12,8;0,4;-11,67;-11,79;-11,42
No;5BZBJ2146-4748;BL Lac;326,60709;-47,81044;0,461;2,05E+20;;;17,3;0,4;Low flux variability and large IR spectral slope. That is likely because the IR flux is dominated by the host galaxy or IR torus. Only use the Wpeak prediction if the SED does not show any of these features.;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,4;0,45;15,3;0,4;-12,38;-12,44;-12,29
Yes;5BZQJ2146-7755;FSRQ;326,62531;-77,93185;0,334;7,39E+20;12,7;-11,9;12,7;0,6;;No possible source for confusion within 20 arcseconds;2,1;-0,37;12,8;0,4;-11,95;-12,10;-11,77
Yes;5BZBJ2146-1344;BL Lac;326,65396;-13,73350;0,420;3,68E+20;15,7;-11,5;15,7;0,3;;There are no confusing sources at this position. The closest object is located at 19 arcseconds;2,5;0,52;15,6;0,4;-11,50;-11,76;-11,36
Yes;4FGL J2146.8+0425;;326,72998;4,45708;;4,40E+20;12,5;-12,3;12,6;0,4;;Possible confusing source at distance of 7 arcseconds, vmag=19.8;6,6;-0,71;12,4;0,4;-12,25;-12,67;-11,85
No;5BZGJ2147-1019;;326,75186;-10,31997;0,080;3,70E+20;;;16,1;0,6;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 16 arcseconds;;;;;;;
Yes;5BZQJ2147-7812;FSRQ;326,77432;-78,20609;0,732;8,03E+20;13,0;-11,7;13,0;0,5;Not enough flux variability. ;There are no confusing sources at this position. The closest object is located at 15 arcseconds;1,1;;;;;;
Yes;5BZQJ2147+0929;FSRQ;326,79233;9,49631;1,113;4,44E+20;12,6;-11,8;12,6;0,3;;No possible source for confusion within 20 arcseconds;4,6;-0,58;12,5;0,4;-11,81;-12,12;-11,46
Yes;5BZQJ2147-7536;FSRQ;326,80304;-75,60367;1,138;6,81E+20;12,7;-11,1;12,7;0,3;;There are no confusing sources at this position. The closest object is located at 19 arcseconds;5,5;-0,87;12,2;0,4;-11,25;-11,46;-10,72
No;5BZQJ2147-0620;FSRQ;326,84122;-6,34036;0,806;2,78E+20;;;15,7;0,5;Not enough flux variability. Very small or no spectral slope variability. That is likely because the IR flux is dominated by the host galaxy or IR torus. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
No;5BZQJ2147-3601;FSRQ;326,87970;-36,03092;2,084;1,64E+20;;;14,3;1,1;Not enough flux variability. ;No possible source for confusion within 20 arcseconds;1,2;;;;;;
No;5BZGJ2147-1608;;326,96957;-16,14522;0,104;4,60E+20;;;15,7;0,4;Not enough IR data measurements to provide a Wpeak prediction.;There are no confusing sources at this position. The closest object is located at 15 arcseconds;;;;;;;
No;5BZQJ2147-7621;FSRQ;326,97144;-76,35811;1,884;7,50E+20;;;12,6;0,6;;There are no confusing sources at this position. The closest object is located at 12 arcseconds;1,3;-0,91;12,1;0,4;-12,11;-12,17;-12,05
Yes;5BZQJ2148+0657;FSRQ;327,02277;6,96072;0,999;4,40E+20;12,8;-11,3;12,8;0,4;;No possible source for confusion within 20 arcseconds;1,6;-0,89;12,1;0,4;-11,00;-11,05;-10,84
No;5BZBJ2148-0733;BL Lac;327,02945;-7,56303;;3,87E+20;;;15,4;0,4;;Possible confusing source at distance of 4 arcseconds, vmag=100.0;4,0;1,23;17,5;0,0;-11,09;0,00;0,00
